2024-09-07 16:01:06.908 | INFO     | core.llm:generate_summary:36 - Starting report generation using GPT model.
2024-09-07 16:01:11.164 | DEBUG    | core.llm:generate_summary:44 - GPT response: ChatCompletion(id='chatcmpl-A4kfUGh5fImu1r5oXH6ebAEsQvtqL', choices=[Choice(finish_reason='stop', index=0, logprobs=None, message=ChatCompletionMessage(content='# LangChain 项目进展\n\n## 时间周期：2024-09-07\n\n## 新增功能\n- 添加会话过期重试机制到 Neo4j 图数据库。\n- 为 BoxRetriever 添加搜索选项，并提供作为代理工具的文档支持。\n- 向 ChatOctoAI 添加 bind_tools 功能支持。\n- 增加对 HuggingFacePipeline 中 model_id 参数的支持。\n- 集成 PiecesOS LLM。\n\n## 主要改进\n- 更新 RAG 教程的依赖项。\n- 更新文档中的函数注释，以提高可读性。\n- 提高 RedisVectorStore 的 API 文档质量。\n- 修复 AzureChatOpenAI 的 json_schema 模式相关问题。\n\n## 修复问题\n- 解决了 Azure Cosmos DB 中出现的键错误问题。\n- 修复了 ScrapflyLoader 文档中的拼写错误。\n- 修复了在新版本的 ClickHouse 中嵌入问题。\n- 修复了 Databricks Vector Search 的调用参数问题。', refusal=None, role='assistant', function_call=None, tool_calls=None))], created=1725696068, model='gpt-4o-mini-2024-07-18', object='chat.completion', service_tier=None, system_fingerprint='fp_483d39d857', usage=CompletionUsage(completion_tokens=218, prompt_tokens=2445, total_tokens=2663))
2024-09-07 16:02:06.349 | INFO     | core.llm:generate_summary:36 - Starting report generation using GPT model.
2024-09-07 16:02:06.349 | INFO     | core.llm:generate_summary:36 - Starting report generation using GPT model.
2024-09-07 16:02:39.010 | INFO     | core.llm:generate_summary:33 - Starting report generation using GPT model.
2024-09-07 16:02:43.856 | DEBUG    | core.llm:generate_summary:41 - GPT response: ChatCompletion(id='chatcmpl-A4kgztryVAWeRAnwvp90Xc5C7EfJj', choices=[Choice(finish_reason='stop', index=0, logprobs=None, message=ChatCompletionMessage(content='# LangChain 项目进展\n\n## 时间周期：2024-09-07\n\n## 新增功能\n- 添加了会话过期重试机制，支持 Neo4j 图数据库。\n- 为 BoxRetriever 添加了搜索选项，并提供作为代理工具的文档支持。\n- 向 ChatOctoAI 添加了 bind_tools 功能支持。\n- 增加了对 HuggingFacePipeline 中 model_id 参数的支持。\n- 集成了 PiecesOS LLM。\n\n## 主要改进\n- 更新了 RAG 教程的依赖项，以保持工具的现代性。\n- 更新了文档中的函数注释，提升可读性。\n- 提高了 RedisVectorStore 的 API 文档质量。\n- 修复了 AzureChatOpenAI 的 json_schema 模式相关问题。\n\n## 修复问题\n- 解决了 Azure Cosmos DB 中出现的键错误问题。\n- 修复了 ScrapflyLoader 文档中的拼写错误。\n- 修复了在新版本的 ClickHouse 中的嵌入问题。\n- 修复了 Databricks Vector Search 的调用参数问题。', refusal=None, role='assistant', function_call=None, tool_calls=None))], created=1725696161, model='gpt-4o-mini-2024-07-18', object='chat.completion', service_tier=None, system_fingerprint='fp_483d39d857', usage=CompletionUsage(completion_tokens=235, prompt_tokens=2663, total_tokens=2898))
2024-09-07 18:41:17.341 | INFO     | core.llm:generate_summary:34 - Starting report generation using GPT model.
2024-09-07 18:41:21.590 | DEBUG    | core.llm:generate_summary:42 - GPT response: ChatCompletion(id='chatcmpl-A4nAVHXC0b0k91KsryNZ7cPnKaiND', choices=[Choice(finish_reason='stop', index=0, logprobs=None, message=ChatCompletionMessage(content='# LangChain 项目进展\n\n## 时间周期：2024-09-06至2024-09-07\n\n## 新增功能\n- 添加了会话过期重试机制，支持 Neo4j 图数据库。\n- 为 BoxRetriever 添加了搜索选项，并提供作为代理工具的文档支持。\n- 向 ChatOctoAI 添加了 bind_tools 功能支持。\n- 增加了对 HuggingFacePipeline 中 model_id 参数的支持。\n- 集成了 PiecesOS LLM。\n\n## 主要改进\n- 更新了 RAG 教程的依赖项，以保持工具的现代性。\n- 更新了文档中的函数注释，提升可读性。\n- 提高了 RedisVectorStore 的 API 文档质量。\n- 修复了 AzureChatOpenAI 的 json_schema 模式相关问题。\n\n## 修复问题\n- 解决了 Azure Cosmos DB 中出现的键错误问题。\n- 修复了 ScrapflyLoader 文档中的拼写错误。\n- 修复了在新版本的 ClickHouse 中的嵌入问题。\n- 修复了 Databricks Vector Search 的调用参数问题。', refusal=None, role='assistant', function_call=None, tool_calls=None))], created=1725705679, model='gpt-4o-mini-2024-07-18', object='chat.completion', service_tier=None, system_fingerprint='fp_483d39d857', usage=CompletionUsage(completion_tokens=242, prompt_tokens=2371, total_tokens=2613))
2024-09-09 10:11:47.838 | ERROR    | __main__:<module>:184 - Error during scheduled job: 'utf-8' codec can't decode byte 0xa1 in position 1957: invalid start byte
2024-09-09 10:13:08.524 | ERROR    | __main__:<module>:184 - Error during scheduled job: 'utf-8' codec can't decode byte 0xa1 in position 1957: invalid start byte
2024-09-09 10:13:36.986 | ERROR    | __main__:<module>:184 - Error during scheduled job: 'utf-8' codec can't decode byte 0xa1 in position 1957: invalid start byte
